Date,ECH,EIDO,EIRL,EIS,ENZL,EPHE,EPOL,EPU,ERUS,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,FXI,THD,TUR
7/12/2011,65.531662,29.01071,18.752203,46.668991,22.338108,23.478279,27.023872,33.202087,44.49305,17.029873,26.585094,22.853384,21.583956,14.276473,25.741165,37.857025,10.3361,21.987568,43.203247,17.055532,17.484556,26.716944,20.709757,20.765734,24.114452,26.226418,53.578304,57.397736,56.790882,55.557095,34.495914,54.295937,48.69936
7/13/2011,65.93985,29.270693,18.974812,46.875038,22.737377,23.572718,27.822453,33.665852,45.104904,17.351837,26.949158,23.337339,22.030046,14.355521,26.354843,38.579494,10.49573,22.291895,43.60487,17.243618,17.758272,27.171337,20.989838,20.979813,24.294775,26.605413,54.401104,58.36607,57.755795,56.150349,35.010525,55.057053,49.375153
7/14/2011,66.197189,29.154148,19.001524,46.540218,22.7724,23.61994,27.518988,33.708782,44.47736,17.125776,26.745958,22.899477,21.867048,14.300186,26.08947,38.21825,10.423896,22.156635,43.432755,17.098282,17.54262,26.908646,20.792133,20.949232,24.163631,26.468969,53.972206,58.010719,56.864483,56.118271,34.757439,54.899868,48.623337
7/15/2011,66.099579,29.674116,18.796732,46.480122,22.933516,23.733273,27.886337,34.653488,45.120598,17.023026,27.059225,22.868752,22.038626,14.300186,26.106054,38.507244,10.511694,22.148186,43.662247,17.106831,17.617268,26.809244,20.808609,21.02569,24.393135,26.529617,53.980961,58.294998,56.913544,56.679462,34.867111,55.379704,49.121731
7/18/2011,65.478439,29.629288,18.716595,45.887745,22.716362,23.761599,27.015884,35.606789,44.351849,16.851765,26.754427,22.162022,21.704056,14.229041,25.343107,38.037636,10.312154,21.708603,42.600807,16.764866,17.235727,26.525246,20.380245,20.872772,24.098059,26.211258,53.411995,57.300018,56.251179,55.476917,34.765869,55.685802,48.200966
7/19/2011,65.345322,29.718945,18.814533,46.797768,23.339785,24.101593,27.351288,36.826313,45.136288,17.255938,27.177757,22.845703,22.021465,14.363425,25.956779,38.507244,10.479767,21.793139,42.744251,17.021339,17.443087,26.92284,20.685041,21.132727,24.425922,26.4993,53.779625,58.357185,56.889008,56.110264,35.238304,57.406593,48.048912
7/20/2011,64.209511,29.943068,18.814533,46.840694,23.395828,24.101593,27.590862,36.766201,44.963711,17.454594,27.296293,23.283566,22.141569,14.426668,26.669973,38.904602,10.655362,22.105921,42.830307,17.329107,17.63386,27.888426,21.022793,21.270351,24.852146,26.787329,53.096882,58.83691,56.978966,56.214481,35.381714,57.340408,47.719463
7/21/2011,64.759674,30.355459,19.455639,47.630527,23.725046,24.271587,28.461313,37.041027,46.250183,17.742304,27.592621,23.698385,22.630554,14.576861,27.913912,39.229702,11.006548,22.520138,43.518814,17.953196,18.264227,29.074116,21.755953,21.729092,25.278374,27.317924,53.718353,59.201134,58.074699,57.20055,35.584194,58.118073,47.237957
7/22/2011,64.307106,30.203045,19.571392,47.587605,23.89316,24.243256,28.413401,36.611614,46.171741,17.86561,27.609556,23.690706,22.707764,14.663815,27.814394,39.301949,11.022511,22.444057,43.547501,17.970295,18.1647,29.003111,21.797144,21.820839,25.196404,27.40888,53.998463,59.316624,58.336365,56.992123,35.803535,58.680649,45.759655
7/25/2011,64.049789,30.158226,19.366594,47.166943,23.85113,24.422697,28.085976,36.817738,45.85796,17.6327,27.575687,23.50634,22.784967,14.655911,27.217306,39.157459,10.96664,22.6723,43.518814,17.842058,18.056868,28.314423,21.648865,21.713804,25.016079,27.242121,53.683346,58.828014,58.524448,56.903934,35.584194,59.036377,45.818794
7/26/2011,63.322124,30.579582,19.482347,47.227032,23.85113,24.252699,28.301592,36.929379,46.516888,17.797106,27.338621,23.652296,22.965122,14.711249,27.549023,39.229702,11.022511,22.663849,43.57618,17.987396,18.231049,28.491924,21.632381,21.897299,25.294764,27.515001,53.639576,59.121185,58.671646,57.400967,35.989136,58.88747,46.503036
7/27/2011,62.097588,30.669231,19.046041,46.196815,23.570942,24.309366,27.471081,36.1049,45.748142,17.5916,26.585094,22.991659,22.278826,14.616386,26.321671,38.579494,10.743157,22.207357,43.289303,17.482992,17.766563,27.370129,20.998083,21.774965,25.098045,26.87829,53.797138,58.383835,57.387821,56.471004,35.482964,58.34972,46.156681
7/28/2011,62.177452,30.543722,18.698782,46.265491,23.62698,24.488806,27.678705,36.448429,45.85796,17.440893,26.551226,22.876431,21.969994,14.782393,26.205572,38.507244,10.703248,22.072105,43.37537,17.371851,17.534321,27.34173,20.750944,21.943174,25.147223,26.938932,53.989719,58.605927,57.028023,55.669327,35.736046,59.201839,47.525169
7/29/2011,61.760376,30.678196,18.894676,45.887745,23.816109,24.649353,27.894318,36.843502,45.85796,17.269634,26.195631,23.030066,22.064363,14.853538,26.188984,38.687859,10.639397,22.249626,43.231934,17.320559,17.509441,27.48374,20.726233,21.989048,24.852146,26.89345,54.1035,58.348297,57.706738,55.965946,35.736046,59.416943,47.16193
